state_name,district_name,crop_year,season,crop,area_,production_
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Arecanut,3160.67,3975.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Black pepper,570.0,104.36
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Cashewnut,116.5,25.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Coconut,7156.7,34750000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Dry chillies,340.0,822.8
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Dry ginger,410.0,1462
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,other oilseeds,89.3,46.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Sugarcane,145.26,1560
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Arecanut,3250.78,3058.46
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Black pepper,656.45,35.95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Cashewnut,118.5,30.22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Coconut,7050.45,26430000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Dry chillies,370.7,877.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Dry ginger,200.0,1800
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,other oilseeds,53.55,34.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Sugarcane,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Sweet potato,131.9,700.35
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Tapioca,254.5,1480
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Turmeric,81.7,572
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Arecanut,2000.0,2350
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Banana,483.0,4150
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Black pepper,413.1,20.18
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Cashewnut,79.5,26
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Coconut,3483.09,14190000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Dry chillies,124.6,34.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Dry ginger,100.9,900
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,other oilseeds,24.0,14.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Sugarcane,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Sweet potato,30.4,220
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Tapioca,40.0,160
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Turmeric,10.0,60
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Sugarcane,67.5,402
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Arecanut,1912.0,1900
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Arhar/Tur,20.5,13.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Black pepper,409.0,98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Cashewnut,15.0,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Dry chillies,128.0,148
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Dry ginger,94.0,828.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Groundnut,15.5,7.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Maize,73.0,253
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Moong(Green Gram),29.9,17.85
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Sunflower,1.0,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Sweet potato,32.0,235
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Turmeric,10.0,105
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Urad,34.0,15.05
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Banana,360.0,5517
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Coconut,3540.0,11000000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Tapioca,22.5,220
Andhra Pradesh,ANANTAPUR,1997,Kharif,Arhar/Tur,21400.0,2600
Andhra Pradesh,ANANTAPUR,1997,Kharif,Bajra,1400.0,500
Andhra Pradesh,ANANTAPUR,1997,Kharif,Castor seed,1000.0,100
Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300.0,9400
Andhra Pradesh,ANANTAPUR,1997,Kharif,Dry chillies,3700.0,7100
Andhra Pradesh,ANANTAPUR,1997,Kharif,Groundnut,650800.0,228400
Andhra Pradesh,ANANTAPUR,1997,Kharif,Horse-gram,3300.0,1000
Andhra Pradesh,ANANTAPUR,1997,Kharif,Jowar,10100.0,10200
Andhra Pradesh,ANANTAPUR,1997,Kharif,Korra,2200.0,700
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800.0,4900
Andhra Pradesh,ANANTAPUR,1997,Kharif,Moong(Green Gram),1300.0,500
Andhra Pradesh,ANANTAPUR,1997,Kharif,Other Kharif pulses,800.0,100
Andhra Pradesh,ANANTAPUR,1997,Kharif,Ragi,6700.0,11800
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sugarcane,700.0,72900
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sunflower,35900.0,11100
Andhra Pradesh,ANANTAPUR,1997,Kharif,Tobacco,200.0,200
Andhra Pradesh,ANANTAPUR,1997,Rabi,Dry chillies,100.0,100
Andhra Pradesh,ANANTAPUR,1997,Rabi,Gram,28000.0,14800
Andhra Pradesh,ANANTAPUR,1997,Rabi,Groundnut,20200.0,21700
Andhra Pradesh,ANANTAPUR,1997,Rabi,Horse-gram,600.0,200
Andhra Pradesh,ANANTAPUR,1997,Rabi,Jowar,18800.0,9400
Andhra Pradesh,ANANTAPUR,1997,Rabi,Korra,100.0,100
Andhra Pradesh,ANANTAPUR,1997,Rabi,Maize,600.0,2400
Andhra Pradesh,ANANTAPUR,1997,Rabi,Ragi,600.0,1000
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300
Andhra Pradesh,ANANTAPUR,1997,Rabi,Sunflower,30100.0,11100
Andhra Pradesh,ANANTAPUR,1997,Rabi,Wheat,300.0,200
Andhra Pradesh,ANANTAPUR,1998,Kharif,Arhar/Tur,27400.0,9100
Andhra Pradesh,ANANTAPUR,1998,Kharif,Bajra,2600.0,1900
Andhra Pradesh,ANANTAPUR,1998,Kharif,Castor seed,3200.0,1000
Andhra Pradesh,ANANTAPUR,1998,Kharif,Cotton(lint),14000.0,12900
Andhra Pradesh,ANANTAPUR,1998,Kharif,Dry chillies,4000.0,10000
Andhra Pradesh,ANANTAPUR,1998,Kharif,Groundnut,755200.0,867800
Andhra Pradesh,ANANTAPUR,1998,Kharif,Horse-gram,2300.0,900
Andhra Pradesh,ANANTAPUR,1998,Kharif,Jowar,3700.0,5800
Andhra Pradesh,ANANTAPUR,1998,Kharif,Korra,4600.0,3400
Andhra Pradesh,ANANTAPUR,1998,Kharif,Maize,3300.0,6700
Andhra Pradesh,ANANTAPUR,1998,Kharif,Moong(Green Gram),2100.0,1300
Andhra Pradesh,ANANTAPUR,1998,Kharif,Other Kharif pulses,2000.0,300
Andhra Pradesh,ANANTAPUR,1998,Kharif,Ragi,7000.0,14900
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0,96800
Andhra Pradesh,ANANTAPUR,1998,Kharif,Sunflower,21300.0,12200
Andhra Pradesh,ANANTAPUR,1998,Rabi,Dry chillies,200.0,200
Andhra Pradesh,ANANTAPUR,1998,Rabi,Gram,26200.0,25900
Andhra Pradesh,ANANTAPUR,1998,Rabi,Groundnut,25900.0,35800
Andhra Pradesh,ANANTAPUR,1998,Rabi,Horse-gram,700.0,500
Andhra Pradesh,ANANTAPUR,1998,Rabi,Jowar,14800.0,22100
Andhra Pradesh,ANANTAPUR,1998,Rabi,Maize,300.0,1600
Andhra Pradesh,ANANTAPUR,1998,Rabi,Ragi,700.0,1200
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0,63900
Andhra Pradesh,ANANTAPUR,1998,Rabi,Sunflower,13500.0,3300
Andhra Pradesh,ANANTAPUR,1998,Rabi,Wheat,400.0,200
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Sugarcane,700.0,65900
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Tobacco,100.0,100
Andhra Pradesh,ANANTAPUR,1999,Kharif,Bajra,1635.0,889
Andhra Pradesh,ANANTAPUR,1999,Kharif,Castor seed,1880.0,355
Andhra Pradesh,ANANTAPUR,1999,Kharif,Cotton(lint),9453.0,10510
Andhra Pradesh,ANANTAPUR,1999,Kharif,Groundnut,694865.0,249457
Andhra Pradesh,ANANTAPUR,1999,Kharif,Horse-gram,1762.0,495
Andhra Pradesh,ANANTAPUR,1999,Kharif,Jowar,11131.0,14582
Andhra Pradesh,ANANTAPUR,1999,Kharif,Maize,3358.0,9540
Andhra Pradesh,ANANTAPUR,1999,Kharif,Masoor,23117.0,3861
Andhra Pradesh,ANANTAPUR,1999,Kharif,Moong(Green Gram),1546.0,1098
Andhra Pradesh,ANANTAPUR,1999,Kharif,Ragi,6215.0,11467
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0,105082
Andhra Pradesh,ANANTAPUR,1999,Kharif,Sesamum,8.0,2
Andhra Pradesh,ANANTAPUR,1999,Kharif,Urad,4.0,2
Andhra Pradesh,ANANTAPUR,1999,Rabi,Bajra,99.0,54
Andhra Pradesh,ANANTAPUR,1999,Rabi,Gram,26835.0,9365
Andhra Pradesh,ANANTAPUR,1999,Rabi,Groundnut,21785.0,25358
Andhra Pradesh,ANANTAPUR,1999,Rabi,Horse-gram,1071.0,327
Andhra Pradesh,ANANTAPUR,1999,Rabi,Jowar,21487.0,30576
Andhra Pradesh,ANANTAPUR,1999,Rabi,Linseed,12.0,1
Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455.0,2203
Andhra Pradesh,ANANTAPUR,1999,Rabi,Masoor,98.0,10
Andhra Pradesh,ANANTAPUR,1999,Rabi,Moong(Green Gram),1.0,1
Andhra Pradesh,ANANTAPUR,1999,Rabi,Ragi,734.0,1180
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669
Andhra Pradesh,ANANTAPUR,1999,Rabi,Safflower,881.0,145
Andhra Pradesh,ANANTAPUR,1999,Rabi,Sesamum,10.0,2
Andhra Pradesh,ANANTAPUR,1999,Rabi,Wheat,439.0,294
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Dry chillies,5199.0,5759
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Onion,1770.0,32364
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Sugarcane,884.0,83126
Andhra Pradesh,ANANTAPUR,2000,Kharif,Arhar/Tur,30693.0,7888
Andhra Pradesh,ANANTAPUR,2000,Kharif,Bajra,2477.0,1449
Andhra Pradesh,ANANTAPUR,2000,Kharif,Castor seed,9315.0,2831
Andhra Pradesh,ANANTAPUR,2000,Kharif,Cotton(lint),12025.0,16128
Andhra Pradesh,ANANTAPUR,2000,Kharif,Dry chillies,3755.0,10146
Andhra Pradesh,ANANTAPUR,2000,Kharif,Gram,21.0,14
Andhra Pradesh,ANANTAPUR,2000,Kharif,Groundnut,791559.0,884963
Andhra Pradesh,ANANTAPUR,2000,Kharif,Horse-gram,601.0,215
Andhra Pradesh,ANANTAPUR,2000,Kharif,Jowar,5071.0,14351
Andhra Pradesh,ANANTAPUR,2000,Kharif,Korra,1626.0,1143
Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475.0,9049
Andhra Pradesh,ANANTAPUR,2000,Kharif,Moong(Green Gram),1744.0,774
Andhra Pradesh,ANANTAPUR,2000,Kharif,Onion,1103.0,15470
Andhra Pradesh,ANANTAPUR,2000,Kharif,Other Kharif pulses,3167.0,559
Andhra Pradesh,ANANTAPUR,2000,Kharif,other misc. pulses,1292.0,214
